dataset,filename,window,AUC_ROC,AUC_PR,Precision,Recall,F,Precision@k,Rprecision,Rrecall,RF
Dodgers,101-freeway-traffic.test.out,70,0.3649408042241167,0.08062131777019182,0.1027190332326284,0.021026592455163882,0.03490759753593429,0.021026592455163882,0.10493827160493827,0.1481749797342934,0.12286378675270429
ECG,MBA_ECG801_data.out,70,0.5026178990910081,0.4758848062642582,0.49615384615384617,0.018052057094878254,0.03483661895760194,0.018052057094878254,0.4881889763779528,0.1524992269288598,0.23240147425401353
ECG,MBA_ECG803_data.out,70,0.7315565059366712,0.1538840773572218,0.019630484988452657,0.017435897435897435,0.018468223791417708,0.017435897435897435,0.027156549520766772,0.21066666666666667,0.048111196689892353
ECG,MBA_ECG805_data.out,70,0.7131770746257541,0.08488608965870073,0.04748603351955307,0.03353057199211045,0.03930635838150289,0.03353057199211045,0.047752808988764044,0.20789067142008316,0.07766568900558261
ECG,MBA_ECG806_data.out,70,0.5280374004813924,0.015999298007741136,0.009908536585365854,0.043333333333333335,0.016129032258064516,0.043333333333333335,0.013597033374536464,0.2128888888888889,0.02556147683142475
ECG,MBA_ECG820_data.out,70,0.4198004314994606,0.05210714757378605,0.04519774011299435,0.02666666666666667,0.033542976939203356,0.02666666666666667,0.05128205128205128,0.21600000000000005,0.08288564850345356
IOPS,KPI-05f10d3a-239c-3bef-9bdc-a2feeb0037aa.test.out,70,0.7375238298639618,0.050400504833693564,0.05476673427991886,0.17419354838709677,0.08333333333333333,0.17419354838709677,0.03617571059431524,0.3433005565862709,0.06545411482095256
IOPS,KPI-0efb375b-b902-3661-ab23-9a0bb799f4e3.test.out,70,0.47504295831225163,0.007211690679904859,0.010362694300518135,0.028169014084507043,0.015151515151515152,0.0,0.010416666666666666,0.0961111111111111,0.01879617557583659
IOPS,KPI-1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0.test.out,70,0.7265013492665461,0.06516902289639673,0.06806282722513089,0.4642857142857143,0.1187214611872146,0.4642857142857143,0.03431372549019608,0.40224089635854343,0.06323324966817014
IOPS,KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.test.out,70,0.4922280862988861,0.022314395211440456,0.03314917127071823,0.02912621359223301,0.031007751937984496,0.02912621359223301,0.03314917127071823,0.057272727272727274,0.041993001166472255
IOPS,KPI-42d6616d-c9c5-370a-a8ba-17ead74f3114.test.out,70,0.6477348654849853,0.018766987153931776,0.028397565922920892,0.27450980392156865,0.051470588235294115,0.27450980392156865,0.026004728132387706,0.31648309178743966,0.04806043474688495
IOPS,KPI-43115f2a-baeb-3b01-96f7-4ea14188343c.test.out,70,0.7510243634707812,0.037447713091071116,0.06451612903225806,0.2318840579710145,0.10094637223974763,0.2318840579710145,0.03591160220994475,0.22505742392156103,0.06193970834066176
IOPS,KPI-431a8542-c468-3988-a508-3afd06a218da.test.out,70,0.8092091375922817,0.1991930246555746,0.23870967741935484,0.4530612244897959,0.3126760563380282,0.4530612244897959,0.12121212121212122,0.5134696168029501,0.19612583032657757
IOPS,KPI-4d2af31a-9916-3d9f-8a8e-8a268a48c095.test.out,70,0.6110551263389692,0.33352918135526827,0.5,0.2222222222222222,0.3076923076923077,0.2222222222222222,0.5,0.3111111111111111,0.3835616438356164
IOPS,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.test.out,70,0.5876010033741786,0.4569300580962602,0.7916666666666666,0.17592592592592593,0.2878787878787879,0.17592592592592593,0.6363636363636364,0.17352092352092352,0.27268677870014174
IOPS,KPI-55f8b8b8-b659-38df-b3df-e4a5a8a54bc9.test.out,70,0.5468779275655435,0.06240177786232361,0.054474708171206226,0.035578144853875476,0.04304381245196003,0.035578144853875476,0.04583333333333333,0.27797889893871036,0.07869189774144834
IOPS,KPI-57051487-3a40-3828-9084-a12f7f23ee38.test.out,70,0.7713221867733423,0.4014845783506756,0.5,0.5434782608695652,0.5208333333333334,0.5434782608695652,0.5,0.6282828282828283,0.5568487018800359
IOPS,KPI-6a757df4-95e5-3357-8406-165e2bd49360.test.out,70,0.666629296062384,0.3750747244535775,0.5,0.3333333333333333,0.4,0.3333333333333333,0.5,0.4666666666666667,0.4827586206896552
IOPS,KPI-6d1114ae-be04-3c46-b5aa-be1a003a57cd.test.out,70,0.5519212685593159,0.01629646948949894,0.01694915254237288,0.05806451612903226,0.026239067055393587,0.0,0.017716535433070866,0.322273425499232,0.03358668912657176
